Tanggal,Positif (Indonesia),Dirawat (Indonesia),Sembuh (Indonesia),Meninggal (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Positif Harian (Indonesia),Dirawat Harian (Indonesia),Sembuh Harian (Indonesia),Meninggal Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
29/01/2020 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020 ,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
03/03/2020 ,2,2,0,0,1,0,0,2,3,2,0,0,0,0,1,0,0,2,3,2
04/03/2020 ,2,2,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0
05/03/2020 ,2,2,0,0,3,0,0,4,7,4,0,0,0,0,2,0,0,2,4,2
06/03/2020 ,4,4,0,0,3,0,0,4,7,4,2,2,0,0,0,0,0,0,0,0
07/03/2020 ,4,4,0,0,3,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0
08/03/2020 ,6,6,0,0,3,0,0,4,7,4,2,2,0,0,0,0,0,0,0,0
09/03/2020 ,19,19,0,0,3,0,0,31,34,31,13,13,0,0,0,0,0,27,27,27
10/03/2020 ,27,25,2,0,3,0,0,31,34,31,8,6,2,0,0,0,0,0,0,0
11/03/2020 ,34,31,2,1,3,0,0,33,36,33,7,6,0,1,0,0,0,2,2,2
12/03/2020 ,34,31,2,1,5,0,0,57,62,57,0,0,0,0,2,0,0,24,26,24
13/03/2020 ,69,63,2,4,7,0,0,65,72,65,35,32,0,3,2,0,0,8,10,8
14/03/2020 ,96,83,8,5,9,0,0,70,79,70,27,20,6,1,2,0,0,5,7,5
15/03/2020 ,117,104,8,5,11,0,0,84,95,84,21,21,0,0,2,0,0,14,16,14
16/03/2020 ,134,121,8,5,12,0,7,78,97,85,17,17,0,0,1,0,7,-6,2,1
17/03/2020 ,172,158,9,5,12,0,27,83,122,110,38,37,1,0,0,0,20,5,25,25
18/03/2020 ,227,197,11,19,15,12,42,91,160,133,55,39,2,14,3,12,15,8,38,23
19/03/2020 ,309,269,15,25,19,13,57,121,210,178,82,72,4,6,4,1,15,30,50,45
20/03/2020 ,369,320,17,32,20,13,66,125,224,191,60,51,2,7,1,0,9,4,14,13
21/03/2020 ,450,392,20,38,23,17,71,157,268,228,81,72,3,6,3,4,5,32,44,37
22/03/2020 ,514,437,29,48,29,21,77,177,304,254,64,45,9,10,6,4,6,20,36,26
23/03/2020 ,579,500,30,49,29,22,79,225,355,304,65,63,1,1,0,1,2,48,51,50
24/03/2020 ,686,601,30,55,34,23,109,260,426,369,107,101,0,6,5,1,30,35,71,65
25/03/2020 ,790,701,31,58,43,27,112,290,472,402,104,100,1,3,9,4,3,30,46,33
26/03/2020 ,893,780,35,78,49,29,113,324,515,437,103,79,4,20,6,2,1,34,43,35
27/03/2020 ,"1,046",913,46,87,57,31,132,346,566,478,153,133,11,9,8,2,19,22,51,41
28/03/2020 ,"1,155",994,59,102,62,43,134,364,603,498,109,81,13,15,5,12,2,18,37,20
29/03/2020 ,"1,285","1,107",64,114,67,48,151,435,701,586,130,113,5,12,5,5,17,71,98,88
30/03/2020 ,"1,414","1,217",75,122,78,49,151,449,727,600,129,110,11,8,11,1,0,14,26,14
31/03/2020 ,"1,528","1,311",81,136,84,49,157,451,741,608,114,94,6,14,6,0,6,2,14,8
01/04/2020 ,"1,677","1,417",103,157,90,51,176,499,816,675,149,106,22,21,6,2,19,48,75,67
02/04/2020 ,"1,790","1,508",112,170,95,54,195,565,909,760,113,91,9,13,5,3,19,66,93,85
03/04/2020 ,"1,986","1,671",134,181,98,56,209,627,990,836,196,163,22,11,3,2,14,62,81,76
04/04/2020 ,"2,092","1,751",150,191,99,58,223,691,"1,071",914,106,80,16,10,1,2,14,64,81,78
05/04/2020 ,"2,273","1,911",164,198,123,64,279,685,"1,151",964,181,160,14,7,24,6,56,-6,80,50
06/04/2020 ,"2,491","2,090",192,209,131,68,317,783,"1,299","1,100",218,179,28,11,8,4,38,98,148,136
07/04/2020 ,"2,738","2,313",204,221,141,69,338,895,"1,443","1,233",247,223,12,12,10,1,21,112,144,133
08/04/2020 ,"2,956","2,494",222,240,144,75,357,976,"1,552","1,333",218,181,18,19,3,6,19,81,109,100
09/04/2020 ,"3,293","2,761",252,280,155,82,405,"1,077","1,719","1,482",337,267,30,40,11,7,48,101,167,149
10/04/2020 ,"3,512","2,924",282,306,156,82,433,"1,139","1,810","1,572",219,163,30,26,1,0,28,62,91,90
11/04/2020 ,"3,842","3,229",286,327,168,142,441,"1,152","1,903","1,593",330,305,4,21,12,60,8,13,93,21
12/04/2020 ,"4,241","3,509",359,373,195,142,468,"1,277","2,082","1,745",399,280,73,46,27,0,27,125,179,152
13/04/2020 ,"4,557","3,778",380,399,209,142,521,"1,370","2,242","1,891",316,269,21,26,14,0,53,93,160,146
14/04/2020 ,"4,839","3,954",426,459,243,163,558,"1,385","2,349","1,943",282,176,46,60,34,21,37,15,107,52
15/04/2020 ,"5,136","4,221",446,469,246,164,613,"1,424","2,447","2,037",297,267,20,10,3,1,55,39,98,94
16/04/2020 ,"5,516","4,472",548,496,248,202,619,"1,601","2,670","2,220",380,251,102,27,2,38,6,177,223,183
17/04/2020 ,"5,923","4,796",607,520,250,203,643,"1,727","2,823","2,370",407,324,59,24,2,1,24,126,153,150
18/04/2020 ,"6,248","5,082",631,535,257,206,670,"1,769","2,902","2,439",325,286,24,15,7,3,27,42,79,69
19/04/2020 ,"6,575","5,307",686,582,292,207,695,"1,839","3,033","2,534",327,225,55,47,35,1,25,70,131,95
20/04/2020 ,"6,760","5,423",747,590,297,237,752,"1,826","3,112","2,578",185,116,61,8,5,30,57,-13,79,44
21/04/2020 ,"7,135","5,677",842,616,305,286,753,"1,935","3,279","2,688",375,254,95,26,8,49,1,109,167,110
22/04/2020 ,"7,418","5,870",913,635,308,291,815,"1,985","3,399","2,800",283,193,71,19,3,5,62,50,120,112
23/04/2020 ,"7,775","6,168",960,647,316,292,888,"2,010","3,506","2,898",357,298,47,12,8,1,73,25,107,98
24/04/2020 ,"8,211","6,520","1,002",689,331,327,959,"1,988","3,605","2,947",436,352,42,42,15,35,71,-22,99,49
25/04/2020 ,"8,607","6,845","1,042",720,350,334,"1,050","1,947","3,681","2,997",396,325,40,31,19,7,91,-41,76,50
26/04/2020 ,"8,882","7,032","1,107",743,357,338,"1,099","1,952","3,746","3,051",275,187,65,23,7,4,49,5,65,54
27/04/2020 ,"9,096","7,180","1,151",765,375,338,"1,169","1,950","3,832","3,119",214,148,44,22,18,0,70,-2,86,68
28/04/2020 ,"9,511","7,484","1,254",773,379,341,"1,206","2,024","3,950","3,230",415,304,103,8,4,3,37,74,118,111
29/04/2020 ,"9,771","7,596","1,391",784,381,412,"1,238","2,002","4,033","3,240",260,112,137,11,2,71,32,-22,83,10
30/04/2020 ,"10,118","7,804","1,522",792,381,412,"1,272","2,073","4,138","3,345",347,208,131,8,0,0,34,71,105,105
01/05/2020 ,"10,551","8,160","1,591",800,393,427,"1,312","2,151","4,283","3,463",433,356,69,8,12,15,40,78,145,118
02/05/2020 ,"10,843","8,347","1,665",831,400,562,"1,304","2,089","4,355","3,393",292,187,74,31,7,135,-8,-62,72,-70
03/05/2020 ,"11,192","8,471","1,876",845,410,622,"1,323","2,062","4,417","3,385",349,124,211,14,10,60,19,-27,62,-8
04/05/2020 ,"11,587","8,769","1,954",864,412,650,"1,330","2,080","4,472","3,410",395,298,78,19,2,28,7,18,55,25
05/05/2020 ,"12,071","9,002","2,197",872,414,711,"1,370","2,146","4,641","3,516",484,233,243,8,2,61,40,66,169,106
06/05/2020 ,"12,438","9,226","2,317",895,420,713,"1,381","2,195","4,709","3,576",367,224,120,23,6,2,11,49,68,60
07/05/2020 ,"12,776","9,465","2,381",930,430,718,"1,431","2,196","4,775","3,627",338,239,64,35,10,5,50,1,66,51
08/05/2020 ,"13,112","9,675","2,494",943,431,763,"1,426","2,281","4,901","3,707",336,210,113,13,1,45,-5,85,126,80
09/05/2020 ,"13,645","10,079","2,607",959,437,767,"1,442","2,312","4,958","3,754",533,404,113,16,6,4,16,31,57,47
10/05/2020 ,"14,032","10,361","2,698",973,444,803,"1,533","2,360","5,140","3,893",387,282,91,14,7,36,91,48,182,139
11/05/2020 ,"14,265","10,393","2,881",991,453,836,"1,648","2,258","5,195","3,906",233,32,183,18,9,33,115,-102,55,13
12/05/2020 ,"14,749","10,679","3,063","1,007",457,"1,262","1,741","1,843","5,303","3,584",484,286,182,16,4,426,93,-415,108,-322
13/05/2020 ,"15,438","11,123","3,287","1,028",461,"1,277","1,866","1,833","5,437","3,699",689,444,224,21,4,15,125,-10,134,115
14/05/2020 ,"16,006","11,445","3,518","1,043",466,"1,279","1,995","1,877","5,617","3,872",568,322,231,15,5,2,129,44,180,173
15/05/2020 ,"16,496","11,617","3,803","1,076",474,"1,286","2,019","1,900","5,679","3,919",490,172,285,33,8,7,24,23,62,47
16/05/2020 ,"17,025","12,025","3,911","1,089",475,"1,292","2,120","1,908","5,795","4,028",529,408,108,13,1,6,101,8,116,109
17/05/2020 ,"17,514","12,237","4,129","1,148",478,"1,295","2,217","1,932","5,922","4,149",489,212,218,59,3,3,97,24,127,121
18/05/2020 ,"18,010","12,495","4,324","1,191",483,"1,301","2,266","1,946","5,996","4,212",496,258,195,43,5,6,49,14,74,63
19/05/2020 ,"18,496","12,808","4,467","1,221",487,"1,417","2,213","1,936","6,053","4,149",486,313,143,30,4,116,-53,-10,57,-63
20/05/2020 ,"19,189","13,372","4,575","1,242",493,"1,425","2,263","1,969","6,150","4,232",693,564,108,21,6,8,50,33,97,83
21/05/2020 ,"20,162","14,046","4,838","1,278",498,"1,536","2,231","1,955","6,220","4,186",973,674,263,36,5,111,-32,-14,70,-46
22/05/2020 ,"20,796","14,413","5,057","1,326",501,"1,558","2,282","1,975","6,316","4,257",634,367,219,48,3,22,51,20,96,71
23/05/2020 ,"21,745","15,145","5,249","1,351",504,"1,587","2,346","2,006","6,443","4,352",949,732,192,25,3,29,64,31,127,95
24/05/2020 ,"22,271","15,497","5,402","1,372",505,"1,594","2,431","2,031","6,561","4,462",526,352,153,21,1,7,85,25,118,110
25/05/2020 ,"22,750","15,717","5,642","1,391",506,"1,648","2,430","2,044","6,628","4,474",479,220,240,19,1,54,-1,13,67,12
26/05/2020 ,"23,165","15,870","5,877","1,418",508,"1,678","2,459","2,044","6,689","4,503",415,153,235,27,2,30,29,0,61,29
27/05/2020 ,"23,851","16,321","6,057","1,473",510,"1,698","2,584","2,034","6,826","4,618",686,451,180,55,2,20,125,-10,137,115
28/05/2020 ,"24,538","16,802","6,240","1,496",514,"1,719","2,641","2,055","6,929","4,696",687,481,183,23,4,21,57,21,103,78
29/05/2020 ,"25,216","17,204","6,492","1,520",517,"1,807","2,722","2,007","7,053","4,729",678,402,252,24,3,88,81,-48,124,33
30/05/2020 ,"25,773","17,185","7,015","1,573",519,"2,003","2,781","1,848","7,151","4,629",557,-19,523,53,2,196,59,-159,98,-100
31/05/2020 ,"26,473","17,552","7,308","1,613",520,"2,102","2,827","1,823","7,272","4,650",700,367,293,40,1,99,46,-25,121,21
01/06/2020 ,"26,940","17,662","7,637","1,641",521,"2,246","2,822","1,794","7,383","4,616",467,110,329,28,1,144,-5,-29,111,-34
02/06/2020 ,"27,549","17,951","7,935","1,663",525,"2,405","2,786","1,743","7,459","4,529",609,289,298,22,4,159,-36,-51,76,-87
03/06/2020 ,"28,233","18,129","8,406","1,698",529,"2,534","2,777","1,699","7,539","4,476",684,178,471,35,4,129,-9,-44,80,-53
04/06/2020 ,"28,818","18,205","8,892","1,721",530,"2,607","2,793","1,670","7,600","4,463",585,76,486,23,1,73,16,-29,61,-13
05/06/2020 ,"29,521","18,308","9,443","1,770",532,"2,751","2,768","1,633","7,684","4,401",703,103,551,49,2,144,-25,-37,84,-62
06/06/2020 ,"30,514","18,806","9,907","1,801",535,"2,840","2,776","1,635","7,786","4,411",993,498,464,31,3,89,8,2,102,10
07/06/2020 ,"31,186","18,837","10,498","1,851",537,"3,170","2,794","1,445","7,946","4,239",672,31,591,50,2,330,18,-190,160,-172
08/06/2020 ,"32,033","19,246","10,904","1,883",538,"3,205","2,846","1,448","8,037","4,294",847,409,406,32,1,35,52,3,91,55
09/06/2020 ,"33,076","19,739","11,414","1,923",547,"3,369","2,918","1,442","8,276","4,360","1,043",493,510,40,9,164,72,-6,239,66
10/06/2020 ,"34,316","20,228","12,129","1,959",551,"3,517","2,928","1,427","8,423","4,355","1,240",489,715,36,4,148,10,-15,147,-5
11/06/2020 ,"35,295","20,659","12,636","2,000",555,"3,664","2,887","1,446","8,552","4,333",979,431,507,41,4,147,-41,19,129,-22
12/06/2020 ,"36,406","21,145","13,213","2,048",561,"3,780","2,863","1,424","8,628","4,287","1,111",486,577,48,6,116,-24,-22,76,-46
13/06/2020 ,"37,420","21,553","13,776","2,091",564,"3,840","2,925","1,419","8,748","4,344","1,014",408,563,43,3,60,62,-5,120,57
14/06/2020 ,"38,277","21,612","14,531","2,134",571,"4,091","2,833","1,368","8,863","4,201",857,59,755,43,7,251,-92,-51,115,-143
15/06/2020 ,"39,294","21,973","15,123","2,198",580,"4,198","2,800","1,390","8,968","4,190","1,017",361,592,64,9,107,-33,22,105,-11
16/06/2020 ,"40,400","22,466","15,703","2,231",583,"4,329","2,764","1,416","9,092","4,180","1,106",493,580,33,3,131,-36,26,124,-10
17/06/2020 ,"41,431","22,912","16,243","2,276",588,"4,444","2,775","1,402","9,209","4,177","1,031",446,540,45,5,115,11,-14,117,-3
18/06/2020 ,"42,762","23,625","16,798","2,339",594,"4,592","2,822","1,377","9,385","4,199","1,331",713,555,63,6,148,47,-25,176,22
19/06/2020 ,"43,803","24,081","17,349","2,373",599,"4,682","2,862","1,382","9,525","4,244","1,041",456,551,34,5,90,40,5,140,45
20/06/2020 ,"45,029","24,717","17,883","2,429",603,"4,821","2,939","1,340","9,703","4,279","1,226",636,534,56,4,139,77,-42,178,35
21/06/2020 ,"45,891","25,022","18,404","2,465",615,"5,054","2,874","1,287","9,830","4,161",862,305,521,36,12,233,-65,-53,127,-118
22/06/2020 ,"46,845","25,610","18,735","2,500",618,"5,128","2,901","1,310","9,957","4,211",954,588,331,35,3,74,27,23,127,50
23/06/2020 ,"47,896","26,120","19,241","2,535",619,"5,228","2,957","1,319","10,123","4,276","1,051",510,506,35,1,100,56,9,166,65
24/06/2020 ,"49,009","26,778","19,658","2,573",628,"5,322","2,978","1,349","10,277","4,327","1,113",658,417,38,9,94,21,30,154,51
25/06/2020 ,"50,187","27,118","20,449","2,620",631,"5,435","3,068","1,338","10,472","4,406","1,178",340,791,47,3,113,90,-11,195,79
26/06/2020 ,"51,427","27,411","21,333","2,683",632,"5,542","3,136","1,330","10,640","4,466","1,240",293,884,63,1,107,68,-8,168,60
27/06/2020 ,"52,812","28,183","21,909","2,720",632,"5,610","3,256","1,355","10,853","4,611","1,385",772,576,37,0,68,120,25,213,145
28/06/2020 ,"54,010","28,320","22,936","2,754",635,"5,865","3,163","1,322","10,985","4,485","1,198",137,"1,027",34,3,255,-93,-33,132,-126
29/06/2020 ,"55,092","28,487","23,800","2,805",636,"6,118","3,299","1,027","11,080","4,326","1,082",167,864,51,1,253,136,-295,95,-159
30/06/2020 ,"56,385","28,703","24,806","2,876",641,"6,512","3,172",951,"11,276","4,123","1,293",216,"1,006",71,5,394,-127,-76,196,-203
01/07/2020 ,"57,770","29,241","25,595","2,934",644,"6,680","3,269",889,"11,482","4,158","1,385",538,789,58,3,168,97,-62,206,35
02/07/2020 ,"59,394","29,740","26,667","2,987",646,"6,871","3,356",804,"11,677","4,160","1,624",499,"1,072",53,2,191,87,-85,195,2
03/07/2020 ,"60,695","30,091","27,568","3,036",648,"7,109","3,331",736,"11,824","4,067","1,301",351,901,49,2,238,-25,-68,147,-93
04/07/2020 ,"62,142","30,834","28,219","3,089",650,"7,377","3,366",646,"12,039","4,012","1,447",743,651,53,2,268,35,-90,215,-55
05/07/2020 ,"63,749","31,473","29,105","3,171",658,"7,663","3,390",584,"12,295","3,974","1,607",639,886,82,8,286,24,-62,256,-38
06/07/2020 ,"64,958","31,798","29,919","3,241",658,"8,033","3,340",495,"12,526","3,835","1,209",325,814,70,0,370,-50,-89,231,-139
07/07/2020 ,"66,226","32,132","30,785","3,309",664,"8,277","3,379",405,"12,725","3,784","1,268",334,866,68,6,244,39,-90,199,-51
08/07/2020 ,"68,079","33,135","31,585","3,359",667,"8,429","3,556",417,"13,069","3,973","1,853","1,003",800,50,3,152,177,12,344,189
09/07/2020 ,"70,736","34,668","32,651","3,417",677,"8,647","3,584",451,"13,359","4,035","2,657","1,533","1,066",58,10,218,28,34,290,62
10/07/2020 ,"72,347","35,349","33,529","3,469",684,"8,825","3,613",476,"13,598","4,089","1,611",681,878,52,7,178,29,25,239,54
11/07/2020 ,"74,018","35,764","34,719","3,535",690,"9,040","3,732",495,"13,957","4,227","1,671",415,"1,190",66,6,215,119,19,359,138
12/07/2020 ,"75,699","36,455","35,638","3,606",702,"9,200","3,905",554,"14,361","4,459","1,681",691,919,71,12,160,173,59,404,232
13/07/2020 ,"76,981","36,636","36,689","3,656",710,"9,408","3,924",597,"14,639","4,521","1,282",181,"1,051",50,8,208,19,43,278,62
14/07/2020 ,"78,572","37,226","37,636","3,710",714,"9,528","4,053",619,"14,914","4,672","1,591",590,947,54,4,120,129,22,275,151
15/07/2020 ,"80,094","37,247","39,050","3,797",720,"9,721","4,041",691,"15,173","4,732","1,522",21,"1,414",87,6,193,-12,72,259,60
16/07/2020 ,"81,668","37,450","40,345","3,873",722,"9,857","4,110",777,"15,466","4,887","1,574",203,"1,295",76,2,136,69,86,293,155
17/07/2020 ,"83,130","37,339","41,834","3,957",731,"9,994","4,156",826,"15,707","4,982","1,462",-111,"1,489",84,9,137,46,49,241,95
18/07/2020 ,"84,882","37,598","43,268","4,016",740,"10,117","4,289",892,"16,038","5,181","1,752",259,"1,434",59,9,123,133,66,331,199
19/07/2020 ,"86,521","36,977","45,401","4,143",748,"10,444","4,236",923,"16,351","5,159","1,639",-621,"2,133",127,8,327,-53,31,313,-22
20/07/2020 ,"88,214","36,998","46,977","4,239",749,"10,602","4,335","1,026","16,712","5,361","1,693",21,"1,576",96,1,158,99,103,361,202
21/07/2020 ,"89,869","37,083","48,466","4,320",758,"10,864","4,458","1,073","17,153","5,531","1,655",85,"1,489",81,9,262,123,47,441,170
22/07/2020 ,"91,751","37,037","50,255","4,459",766,"11,187","4,383","1,193","17,529","5,576","1,882",-46,"1,789",139,8,323,-75,120,376,45
23/07/2020 ,"93,657","36,917","52,164","4,576",767,"11,302","4,675","1,201","17,945","5,876","1,906",-120,"1,909",117,1,115,292,8,416,300
24/07/2020 ,"95,418","36,808","53,945","4,665",768,"11,585","4,577","1,300","18,230","5,877","1,761",-109,"1,781",89,1,283,-98,99,285,1
25/07/2020 ,"97,286","37,218","55,354","4,714",769,"11,715","4,729","1,410","18,623","6,139","1,868",410,"1,409",49,1,130,152,110,393,262
26/07/2020 ,"98,778","37,342","56,655","4,781",779,"11,889","4,842","1,491","19,001","6,333","1,492",124,"1,301",67,10,174,113,81,378,194
27/07/2020 ,"100,303","37,292","58,173","4,838",782,"11,996","4,993","1,702","19,473","6,695","1,525",-50,"1,518",57,3,107,151,211,472,362
28/07/2020 ,"102,051","36,611","60,539","4,901",795,"12,373","4,869","1,848","19,885","6,717","1,748",-681,"2,366",63,13,377,-124,146,412,22
29/07/2020 ,"104,432","37,319","62,138","4,975",820,"12,613","5,093","1,944","20,470","7,037","2,381",708,"1,599",74,25,240,224,96,585,320
30/07/2020 ,"106,336","36,986","64,292","5,058",821,"12,801","5,098","2,049","20,769","7,147","1,904",-333,"2,154",83,1,188,5,105,299,110
31/07/2020 ,"108,376","37,338","65,907","5,131",836,"13,208","4,974","2,183","21,201","7,157","2,040",352,"1,615",73,15,407,-124,134,432,10
01/08/2020 ,"109,936","36,824","67,919","5,193",852,"13,887","4,683","2,153","21,575","6,836","1,560",-514,"2,012",62,16,679,-291,-30,374,-321
02/08/2020 ,"111,455","37,244","68,975","5,236",852,"14,027","4,916","2,159","21,954","7,075","1,519",420,"1,056",43,0,140,233,6,379,239
03/08/2020 ,"113,134","37,595","70,237","5,302",867,"14,165","5,084","2,327","22,443","7,411","1,679",351,"1,262",66,15,138,168,168,489,336
04/08/2020 ,"115,056","37,618","72,050","5,388",880,"14,381","5,216","2,432","22,909","7,648","1,922",23,"1,813",86,13,216,132,105,466,237
05/08/2020 ,"116,871","37,530","73,889","5,452",895,"14,760","5,128","2,483","23,266","7,611","1,815",-88,"1,839",64,15,379,-88,51,357,-37
06/08/2020 ,"118,753","37,587","75,645","5,521",908,"15,006","5,397","2,552","23,863","7,949","1,882",57,"1,756",69,13,246,269,69,597,338
07/08/2020 ,"121,226","38,076","77,557","5,593",922,"15,201","5,803","2,595","24,521","8,398","2,473",489,"1,912",72,14,195,406,43,658,449
08/08/2020 ,"123,503","38,539","79,306","5,658",934,"15,710","6,110","2,488","25,242","8,598","2,277",463,"1,749",65,12,509,307,-107,721,200
09/08/2020 ,"125,396","38,721","80,952","5,723",939,"16,268","6,091","2,416","25,714","8,507","1,893",182,"1,646",65,5,558,-19,-72,472,-91
10/08/2020 ,"127,083","39,082","82,236","5,765",940,"16,446","6,252","2,555","26,193","8,807","1,687",361,"1,284",42,1,178,161,139,479,300
11/08/2020 ,"128,776","39,242","83,710","5,824",953,"16,927","6,236","2,548","26,664","8,784","1,693",160,"1,474",59,13,481,-16,-7,471,-23
12/08/2020 ,"130,718","39,017","85,798","5,903",968,"17,349","6,208","2,717","27,242","8,925","1,942",-225,"2,088",79,15,422,-28,169,578,141
13/08/2020 ,"132,816","39,290","87,558","5,968",981,"17,838","6,330","2,714","27,863","9,044","2,098",273,"1,760",65,13,489,122,-3,621,119
14/08/2020 ,"135,123","39,484","89,618","6,021",985,"18,528","6,331","2,594","28,438","8,925","2,307",194,"2,060",53,4,690,1,-120,575,-119
15/08/2020 ,"137,468","40,076","91,321","6,071",991,"18,974","6,457","2,614","29,036","9,071","2,345",592,"1,703",50,6,446,126,20,598,146
16/08/2020 ,"139,549","40,296","93,103","6,150",995,"19,708","6,284","2,567","29,554","8,851","2,081",220,"1,782",79,4,734,-173,-47,518,-220
17/08/2020 ,"141,370","40,705","94,458","6,207","1,011","19,916","6,514","2,651","30,092","9,165","1,821",409,"1,355",57,16,208,230,84,538,314
18/08/2020 ,"143,043","40,460","96,306","6,277","1,028","20,505","6,602","2,462","30,597","9,064","1,673",-245,"1,848",70,17,589,88,-189,505,-101
19/08/2020 ,"144,945","39,942","98,657","6,346","1,046","21,069","6,488","2,559","31,162","9,047","1,902",-518,"2,351",69,18,564,-114,97,565,-17
20/08/2020 ,"147,211","40,119","100,674","6,418","1,061","21,795","6,357","2,544","31,757","8,901","2,266",177,"2,017",72,15,726,-131,-15,595,-146
21/08/2020 ,"149,408","39,917","102,991","6,500","1,076","22,228","6,518","2,576","32,398","9,094","2,197",-202,"2,317",82,15,433,161,32,641,193
22/08/2020 ,"151,498","39,706","105,198","6,594","1,091","22,877","6,269","2,762","32,999","9,031","2,090",-211,"2,207",94,15,649,-249,186,601,-63
23/08/2020 ,"153,535","39,355","107,500","6,680","1,107","23,567","6,040","2,922","33,636","8,962","2,037",-351,"2,302",86,16,690,-229,160,637,-69
24/08/2020 ,"155,412","37,593","111,060","6,759","1,112","25,463","5,090","2,630","34,295","7,720","1,877","-1,762","3,560",79,5,"1,896",-950,-292,659,"-1,242"
25/08/2020 ,"157,859","38,134","112,867","6,858","1,129","25,986","5,130","2,686","34,931","7,816","2,447",541,"1,807",99,17,523,40,56,636,96
26/08/2020 ,"160,165","37,812","115,409","6,944","1,144","26,750","4,978","2,770","35,642","7,748","2,306",-322,"2,542",86,15,764,-152,84,711,-68
27/08/2020 ,"162,884","37,245","118,575","7,064","1,147","28,288","4,499","2,528","36,462","7,027","2,719",-567,"3,166",120,3,"1,538",-479,-242,820,-721
28/08/2020 ,"165,887","37,818","120,900","7,169","1,154","29,169","4,128","2,827","37,278","6,955","3,003",573,"2,325",105,7,881,-371,299,816,-72
29/08/2020 ,"169,195","39,132","122,802","7,261","1,172","29,768","4,414","2,812","38,166","7,226","3,308","1,314","1,902",92,18,599,286,-15,888,271
30/08/2020 ,"172,053","40,525","124,185","7,343","1,186","30,134","4,945","3,015","39,280","7,960","2,858","1,393","1,383",82,14,366,531,203,"1,114",734
31/08/2020 ,"174,796","41,420","125,959","7,417","1,202","30,538","5,281","3,288","40,309","8,569","2,743",895,"1,774",74,16,404,336,273,"1,029",609
01/09/2020 ,"177,571","42,009","128,057","7,505","1,219","31,267","5,423","3,341","41,250","8,764","2,775",589,"2,098",88,17,729,142,53,941,195
02/09/2020 ,"180,646","43,059","129,971","7,616","1,237","31,741","5,757","3,568","42,303","9,325","3,075","1,050","1,914",111,18,474,334,227,"1,053",561
03/09/2020 ,"184,268","44,463","132,055","7,750","1,253","32,424","6,323","3,709","43,709","10,032","3,622","1,404","2,084",134,16,683,566,141,"1,406",707
04/09/2020 ,"187,537","45,524","134,181","7,832","1,260","33,260","6,257","3,827","44,604","10,084","3,269","1,061","2,126",82,7,836,-66,118,895,52
05/09/2020 ,"190,665","46,324","136,401","7,940","1,277","33,991","6,501","3,677","45,446","10,178","3,128",800,"2,220",108,17,731,244,-150,842,94
06/09/2020 ,"194,109","47,509","138,575","8,025","1,289","34,738","6,582","4,082","46,691","10,664","3,444","1,185","2,174",85,12,747,81,405,"1,245",486
07/09/2020 ,"196,989","48,207","140,652","8,130","1,318","35,431","6,706","4,341","47,796","11,047","2,880",698,"2,077",105,29,693,124,259,"1,105",383
08/09/2020 ,"200,035","48,847","142,958","8,230","1,330","36,451","6,598","4,432","48,811","11,030","3,046",640,"2,306",100,12,"1,020",-108,91,"1,015",-17
09/09/2020 ,"203,342","49,806","145,200","8,336","1,347","37,245","6,691","4,554","49,837","11,245","3,307",959,"2,242",106,17,794,93,122,"1,026",215
10/09/2020 ,"207,203","51,237","147,510","8,456","1,365","38,226","6,968","4,728","51,287","11,696","3,861","1,431","2,310",120,18,981,277,174,"1,450",451
11/09/2020 ,"210,940","52,179","150,217","8,544","1,382","39,115","7,143","4,681","52,321","11,824","3,737",942,"2,707",88,17,889,175,-47,"1,034",128
12/09/2020 ,"214,746","53,638","152,458","8,650","1,404","40,183","7,490","4,684","53,761","12,174","3,806","1,459","2,241",106,22,"1,068",347,3,"1,440",350
13/09/2020 ,"218,382","54,649","155,010","8,723","1,410","41,014","7,791","4,649","54,864","12,440","3,636","1,011","2,552",73,6,831,301,-35,"1,103",266
14/09/2020 ,"221,523","54,277","158,405","8,841","1,440","42,325","7,530","4,631","55,926","12,161","3,141",-372,"3,395",118,30,"1,311",-261,-18,"1,062",-279
15/09/2020 ,"225,030","55,000","161,065","8,965","1,468","43,306","7,711","4,468","56,953","12,179","3,507",723,"2,660",124,28,981,181,-163,"1,027",18
16/09/2020 ,"228,993","55,792","164,101","9,100","1,498","44,251","7,907","4,802","58,458","12,709","3,963",792,"3,036",135,30,945,196,334,"1,505",530
17/09/2020 ,"232,628","56,720","166,686","9,222","1,513","45,207","8,013","4,739","59,472","12,752","3,635",928,"2,585",122,15,956,106,-63,"1,014",43
