,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,Positif Harian
930,2022-09-02,17,38,3616
931,2022-09-03,16,40,3260
932,2022-09-04,16,38,2764
933,2022-09-05,16,37,2340
934,2022-09-06,14,35,3607
935,2022-09-07,14,33,3513
936,2022-09-08,15,33,3138
937,2022-09-09,12,28,2804
938,2022-09-10,12,32,2609
939,2022-09-11,15,35,1939
940,2022-09-12,16,33,1848
941,2022-09-13,14,32,2896
942,2022-09-14,17,34,2799
943,2022-09-15,16,35,2651
944,2022-09-16,13,29,2358
945,2022-09-17,13,32,2079
946,2022-09-18,11,30,1683
947,2022-09-19,12,29,1620
948,2022-09-20,10,29,2518
949,2022-09-21,12,29,2384
950,2022-09-22,13,29,2162
951,2022-09-23,13,28,1904
952,2022-09-24,13,32,1724
953,2022-09-25,13,32,1411
954,2022-09-26,13,29,1344
955,2022-09-27,13,30,1976
956,2022-09-28,14,32,1915
957,2022-09-29,14,32,2003
958,2022-09-30,13,32,1857
959,2022-10-01,13,36,1639
960,2022-10-02,12,34,1322
961,2022-10-03,11,30,1134
962,2022-10-04,10,29,1851
963,2022-10-05,15,36,1722
964,2022-10-06,10,29,1831
965,2022-10-07,11,30,1501
966,2022-10-08,12,30,1325
967,2022-10-09,11,30,999
968,2022-10-10,13,32,1195
969,2022-10-11,9,27,2077
970,2022-10-12,12,30,2028
971,2022-10-13,10,27,1830
972,2022-10-14,12,29,1786
973,2022-10-15,10,29,1678
