date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;Positif Harian;;;
17/08/20;-11;-2;1821;;;
18/08/20;-14;0;1673;;;
19/08/20;-11;4;1902;;;
20/08/20;-12;1;2266;;;
21/08/20;-15;-3;2197;;;
22/08/20;-18;-5;2090;;;
23/08/20;-21;-7;2037;;;
24/08/20;-14;-3;1877;;;
25/08/20;-14;0;2447;;;
26/08/20;-14;0;2306;;;
27/08/20;-13;2;2719;;;
28/08/20;-15;0;3003;;;
29/08/20;-15;1;3308;;;
30/08/20;-15;1;2858;;;
31/08/20;-12;2;2743;;;
01/09/20;-11;6;2775;;;
02/09/20;-12;3;3075;;;
03/09/20;-13;2;3622;;;
04/09/20;-13;1;3269;;;
05/09/20;-13;3;3128;;;
06/09/20;-14;2;3444;;;
07/09/20;-11;2;2880;;;
08/09/20;-12;2;3046;;;
09/09/20;-13;1;3307;;;
10/09/20;-13;1;3861;;;
11/09/20;-14;-3;3737;;;
12/09/20;-14;-1;3806;;;
13/09/20;-17;-4;3636;;;
14/09/20;-16;-5;3141;;;
15/09/20;-17;-5;3507;;;
16/09/20;-15;-2;3963;;;
17/09/20;-16;-3;3635;;;
18/09/20;-19;-6;3891;;;
19/09/20;-19;-3;4168;;;
20/09/20;-24;-9;3989;;;
21/09/20;-19;-7;4176;;;
22/09/20;-22;-8;4071;;;
23/09/20;-23;-6;4465;;;
24/09/20;-23;-7;4634;;;
25/09/20;-24;-6;4823;;;
26/09/20;-24;-4;4494;;;
27/09/20;-26;-8;3874;;;
28/09/20;-21;-4;3509;;;
29/09/20;-22;-4;4002;;;
30/09/20;-20;2;4284;;;
01/10/20;-20;5;4174;;;
02/10/20;-20;1;4317;;;
03/10/20;-19;3;4007;;;
04/10/20;-20;1;3992;;;
05/10/20;-17;2;3622;;;
06/10/20;-19;0;4056;;;
07/10/20;-18;1;4538;;;
08/10/20;-18;0;4850;;;
09/10/20;-20;-4;4094;;;
10/10/20;-22;-4;4294;;;
11/10/20;-19;-1;4497;;;
12/10/20;-17;-1;3267;;;
13/10/20;-19;-2;3906;;;
14/10/20;-16;0;4127;;;
15/10/20;-16;2;4411;;;
16/10/20;-20;-3;4301;;;
17/10/20;-17;3;4301;;;
18/10/20;-19;-1;4105;;;
19/10/20;-20;-3;3373;;;
20/10/20;-19;-2;3602;;;
21/10/20;-20;-4;4267;;;
22/10/20;-17;1;4432;;;
23/10/20;-18;-1;4369;;;
24/10/20;-18;1;4070;;;
25/10/20;-19;-1;3732;;;
26/10/20;-17;-1;3222;;;
27/10/20;-16;4;3520;;;
28/10/20;-10;10;4029;;;
29/10/20;-9;6;3565;;;
30/10/20;-16;-2;2897;;;
31/10/20;-23;-8;3143;;;
01/11/20;-18;0;2696;;;
02/11/20;-15;2;2618;;;
03/11/20;-15;2;2973;;;
04/11/20;-14;2;3356;;;
05/11/20;-16;0;4065;;;
06/11/20;-16;0;3778;;;
07/11/20;-15;0;4262;;;
08/11/20;-17;-1;3880;;;
09/11/20;-16;0;2853;;;
10/11/20;-16;0;3779;;;
11/11/20;-14;2;3770;;;
12/11/20;-14;1;4173;;;
13/11/20;-16;-2;5444;;;
14/11/20;-16;-1;5272;;;
15/11/20;-17;-2;4106;;;
16/11/20;-16;-1;3535;;;
17/11/20;-17;-1;3807;;;
18/11/20;-16;0;4265;;;
19/11/20;-17;-1;4798;;;
20/11/20;-17;-2;4792;;;
21/11/20;-17;-1;4998;;;
22/11/20;-19;-4;4360;;;
23/11/20;-19;-6;4442;;;
24/11/20;-19;-4;4192;;;
25/11/20;-16;1;5534;;;
26/11/20;-14;3;4917;;;
27/11/20;-17;-2;5828;;;
28/11/20;-17;0;5418;;;
29/11/20;-19;-3;6267;;;
30/11/20;-14;4;4617;;;
01/12/20;-14;7;5092;;;
02/12/20;-13;7;5533;;;
03/12/20;-13;5;8369;;;
04/12/20;-15;2;5803;;;
05/12/20;-17;1;6027;;;
06/12/20;-18;-2;6089;;;
07/12/20;-16;1;5754;;;
08/12/20;-13;5;5292;;;
09/12/20;-14;1;6058;;;
10/12/20;-14;6;6033;;;
11/12/20;-16;1;6310;;;
12/12/20;-19;1;6388;;;
13/12/20;-18;-1;6189;;;
14/12/20;-15;2;5489;;;
15/12/20;-15;3;6120;;;
16/12/20;-14;4;6725;;;
17/12/20;-15;3;7354;;;
18/12/20;-16;2;6689;;;
19/12/20;-15;5;7751;;;
20/12/20;-15;3;6982;;;
21/12/20;-11;5;6848;;;
22/12/20;-11;6;6347;;;
23/12/20;-8;12;7514;;;
24/12/20;-7;13;7199;;;
25/12/20;-16;-1;7259;;;
26/12/20;-19;0;6740;;;
27/12/20;-18;-1;6528;;;
28/12/20;-12;6;5854;;;
29/12/20;-15;3;7903;;;
30/12/20;-12;9;8002;;;
31/12/20;-7;23;8074;;;
01/01/21;-25;-8;8072;;;
02/01/21;-20;3;7203;;;
03/01/21;-21;-2;6877;;;
04/01/21;-15;5;6753;;;
05/01/21;-18;3;7445;;;
06/01/21;-15;4;8854;;;
07/01/21;-16;4;9321;;;
08/01/21;-18;0;10617;;;
09/01/21;-22;-4;10046;;;
10/01/21;-20;-1;9640;;;
11/01/21;-18;-2;8692;;;
12/01/21;-22;-6;10047;;;
13/01/21;-23;-8;11278;;;
14/01/21;-25;-12;11557;;;
15/01/21;-30;-18;12818;;;
16/01/21;-32;-19;14224;;;
17/01/21;-32;-19;11287;;;
18/01/21;-30;-19;9086;;;
19/01/21;-29;-16;10365;;;
20/01/21;-28;-15;12568;;;
21/01/21;-27;-15;11703;;;
22/01/21;-29;-17;13632;;;
23/01/21;-27;-13;12191;;;
24/01/21;-32;-20;11788;;;
25/01/21;-25;-12;9994;;;
26/01/21;-27;-14;13094;;;
27/01/21;-26;-12;11948;;;
28/01/21;-24;-9;13695;;;
29/01/21;-27;-12;13802;;;
30/01/21;-27;-8;14518;;;
31/01/21;-24;-5;12001;;;
01/02/21;-23;-5;10994;;;
02/02/21;-22;-3;10379;;;
03/02/21;-25;-9;11984;;;
04/02/21;-24;-8;11434;;;
05/02/21;-21;-4;11749;;;
06/02/21;-26;-10;12156;;;
07/02/21;-30;-16;10827;;;
08/02/21;-23;-8;8242;;;
09/02/21;-21;-4;8700;;;
10/02/21;-20;-3;8776;;;
11/02/21;-16;1;8435;;;
12/02/21;-22;-8;9869;;;
13/02/21;-24;-7;8844;;;
14/02/21;-26;-9;6765;;;
15/02/21;-21;-5;6462;;;
16/02/21;-23;-6;10029;;;
17/02/21;-21;-4;9687;;;
18/02/21;-24;-8;9039;;;
19/02/21;-23;-6;10614;;;
20/02/21;-25;-6;8054;;;
21/02/21;-23;-5;7300;;;
22/02/21;-21;-5;10180;;;
23/02/21;-23;-7;9775;;;
24/02/21;-22;-6;7533;;;
25/02/21;-19;0;8493;;;
26/02/21;-19;0;8232;;;
27/02/21;-18;4;6208;;;
28/02/21;-17;4;5560;;;
01/03/21;-16;5;6680;;;
02/03/21;-18;2;5712;;;
03/03/21;-16;5;6808;;;
04/03/21;-17;2;7264;;;
05/03/21;-17;1;6995;;;
06/03/21;-18;2;5743;;;
07/03/21;-20;-1;5826;;;
08/03/21;-18;0;6894;;;
09/03/21;-17;1;6389;;;
10/03/21;-14;6;5633;;;
11/03/21;-12;5;5144;;;
12/03/21;-18;0;6412;;;
13/03/21;-17;3;4607;;;
14/03/21;-20;-2;4714;;;
15/03/21;-16;3;5589;;;
16/03/21;-18;0;5414;;;
17/03/21;-16;2;6825;;;
18/03/21;-17;1;6570;;;
19/03/21;-17;1;6279;;;
20/03/21;-16;4;5656;;;
21/03/21;-17;1;4396;;;
22/03/21;-17;1;5744;;;
23/03/21;-18;0;5297;;;
24/03/21;-16;2;5227;;;
25/03/21;-15;4;6107;;;
26/03/21;-14;5;4982;;;
27/03/21;-17;3;4461;;;
28/03/21;-16;5;4083;;;
29/03/21;-15;5;5008;;;
30/03/21;-17;2;4682;;;
31/03/21;-13;7;5937;;;
01/04/21;-9;16;6142;;;
02/04/21;-7;15;5325;;;
03/04/21;-12;10;4345;;;
04/04/21;-12;10;6731;;;
05/04/21;-10;12;3712;;;
06/04/21;-12;10;4549;;;
07/04/21;-10;11;4860;;;
08/04/21;-9;12;5504;;;
09/04/21;-8;11;5265;;;
10/04/21;-8;15;4723;;;
11/04/21;-8;15;4127;;;
12/04/21;-5;22;4829;;;
13/04/21;-30;-1;5702;;;
14/04/21;-25;0;5656;;;
15/04/21;-22;2;6177;;;
16/04/21;-20;2;5363;;;
17/04/21;-23;0;5041;;;
18/04/21;-23;-1;4585;;;
19/04/21;-18;3;4952;;;
20/04/21;-17;6;5549;;;
21/04/21;-15;7;5720;;;
22/04/21;-16;6;6243;;;
23/04/21;-16;4;5436;;;
24/04/21;-17;5;4544;;;
25/04/21;-17;5;4402;;;
26/04/21;-14;7;5944;;;
27/04/21;-14;7;4656;;;
28/04/21;-13;9;5241;;;
29/04/21;-9;14;5833;;;
30/04/21;-8;17;5500;;;
01/05/21;-6;21;4512;;;
02/05/21;-7;19;4394;;;
03/05/21;-2;25;4730;;;
04/05/21;-3;26;4369;;;
05/05/21;-1;27;5285;;;
06/05/21;-2;26;5647;;;
07/05/21;-2;25;6327;;;
08/05/21;-4;25;6130;;;
09/05/21;-2;26;3922;;;
10/05/21;6;36;4891;;;
11/05/21;8;46;5021;;;
12/05/21;6;55;4608;;;
13/05/21;-13;8;3448;;;
14/05/21;-8;15;2633;;;
15/05/21;-7;18;2385;;;
16/05/21;-5;19;3080;;;
17/05/21;1;25;4295;;;
18/05/21;-1;24;4185;;;
19/05/21;-1;23;4871;;;
20/05/21;-2;23;5797;;;
21/05/21;-5;17;5746;;;
22/05/21;-6;18;5296;;;
23/05/21;-6;18;5280;;;
24/05/21;-5;16;5907;;;
25/05/21;-1;24;5060;;;
26/05/21;4;24;5034;;;
27/05/21;0;23;6278;;;
28/05/21;-2;20;5862;;;
29/05/21;-5;18;6565;;;
30/05/21;-1;23;6115;;;
31/05/21;5;27;5662;;;
01/06/21;7;29;4824;;;
02/06/21;3;28;5246;;;
03/06/21;4;29;5353;;;
04/06/21;0;23;6486;;;
05/06/21;1;27;6594;;;
06/06/21;-1;23;5832;;;
07/06/21;2;25;6993;;;
08/06/21;1;24;6294;;;
09/06/21;2;25;7725;;;
10/06/21;2;25;8851;;;
11/06/21;-1;20;8124;;;
12/06/21;-2;22;7465;;;
13/06/21;-3;19;9868;;;
14/06/21;-1;20;8189;;;
15/06/21;-4;18;8161;;;
16/06/21;-2;19;9944;;;
17/06/21;-3;19;12624;;;
18/06/21;-7;14;12990;;;
19/06/21;-11;14;12906;;;
20/06/21;-13;10;13737;;;
21/06/21;-8;15;14536;;;
22/06/21;-8;17;13668;;;
23/06/21;-8;15;15308;;;
24/06/21;-10;14;20574;;;
25/06/21;-8;18;18872;;;
26/06/21;-13;16;21095;;;
27/06/21;-15;11;21342;;;
28/06/21;-8;18;20694;;;
29/06/21;-10;17;20467;;;
30/06/21;-10;20;21807;;;
01/07/21;-6;26;24836;;;
02/07/21;-8;24;25830;;;
03/07/21;-18;17;27913;;;
04/07/21;-22;11;27233;;;
05/07/21;-13;20;29745;;;
06/07/21;-15;19;31189;;;
07/07/21;-15;19;34379;;;
08/07/21;-17;16;38391;;;
09/07/21;-20;11;38124;;;
10/07/21;-25;9;35094;;;
11/07/21;-28;5;36197;;;
12/07/21;-19;12;40427;;;
13/07/21;-21;10;47899;;;
14/07/21;-19;12;54517;;;
15/07/21;-18;13;56757;;;
16/07/21;-22;8;54000;;;
17/07/21;-25;9;51952;;;
18/07/21;-28;5;44721;;;
19/07/21;-14;23;34257;;;
20/07/21;-35;-10;38325;;;
21/07/21;-20;13;33772;;;
22/07/21;-21;14;49509;;;
23/07/21;-24;9;49071;;;
24/07/21;-26;10;45416;;;
25/07/21;-27;8;38679;;;
26/07/21;-18;14;28228;;;
27/07/21;-19;14;45203;;;
28/07/21;-18;15;47791;;;
29/07/21;-17;15;43479;;;
30/07/21;-19;13;41168;;;
31/07/21;-22;14;37284;;;
01/08/21;-22;14;30738;;;
02/08/21;-14;19;22404;;;
03/08/21;-15;18;33900;;;
04/08/21;-13;19;35867;;;
05/08/21;-13;19;35764;;;
06/08/21;-14;17;39532;;;
07/08/21;-16;18;31753;;;
08/08/21;-19;14;26415;;;
09/08/21;-12;17;20709;;;
10/08/21;-13;16;32081;;;
11/08/21;-9;20;30625;;;
12/08/21;-11;17;24709;;;
13/08/21;-14;12;30788;;;
14/08/21;-16;14;28598;;;
15/08/21;-17;11;20813;;;
16/08/21;-8;19;17384;;;
17/08/21;-14;10;20741;;;
18/08/21;-13;14;15768;;;
19/08/21;-12;14;22053;;;
20/08/21;-13;13;20004;;;
21/08/21;-15;12;16744;;;
22/08/21;-16;10;12408;;;
23/08/21;-10;13;9604;;;
24/08/21;-11;12;19106;;;
25/08/21;-8;18;18671;;;
26/08/21;-6;19;16899;;;
27/08/21;-8;15;12618;;;
28/08/21;-9;18;10050;;;
29/08/21;-11;14;7427;;;
30/08/21;-6;16;5436;;;
31/08/21;-6;20;10534;;;
01/09/21;-3;25;10337;;;
02/09/21;0;26;8955;;;
03/09/21;-3;21;7797;;;
04/09/21;-4;23;6727;;;
05/09/21;-4;22;5403;;;
06/09/21;-2;20;4413;;;
07/09/21;-3;20;7201;;;
08/09/21;-3;19;6731;;;
09/09/21;0;23;5990;;;
10/09/21;-2;20;5376;;;
11/09/21;-5;19;5001;;;
12/09/21;-6;18;3779;;;
13/09/21;-2;18;2577;;;
14/09/21;-7;13;4128;;;
15/09/21;0;22;3948;;;
16/09/21;0;22;3145;;;
17/09/21;-1;19;3835;;;
18/09/21;-2;21;3385;;;
19/09/21;-5;17;2234;;;
20/09/21;-1;21;1932;;;
21/09/21;-4;16;3263;;;
22/09/21;-1;19;2720;;;
23/09/21;0;19;2881;;;
24/09/21;-1;19;2557;;;
25/09/21;0;23;2137;;;
26/09/21;-3;18;1760;;;
27/09/21;1;20;1390;;;
28/09/21;0;22;2057;;;
29/09/21;1;22;1954;;;
30/09/21;4;27;1690;;;
01/10/21;5;29;1624;;;
02/10/21;6;32;1414;;;
03/10/21;5;29;1142;;;
04/10/21;4;24;922;;;
05/10/21;5;27;1404;;;
06/10/21;6;27;1484;;;
07/10/21;7;27;1393;;;
08/10/21;5;24;1384;;;
09/10/21;6;28;1167;;;
10/10/21;5;27;894;;;
11/10/21;5;23;620;;;
12/10/21;5;24;1261;;;
13/10/21;6;24;1233;;;
14/10/21;6;25;1053;;;
15/10/21;4;23;915;;;
16/10/21;3;25;997;;;
17/10/21;1;22;747;;;
18/10/21;-2;16;626;;;
19/10/21;3;23;903;;;
20/10/21;10;27;914;;;
21/10/21;4;24;633;;;
22/10/21;2;20;760;;;
23/10/21;2;23;802;;;
24/10/21;2;20;623;;;
25/10/21;4;23;460;;;
26/10/21;3;22;611;;;
27/10/21;3;20;719;;;
28/10/21;6;27;723;;;
29/10/21;5;25;683;;;
30/10/21;4;26;620;;;
31/10/21;4;26;523;;;
01/11/21;4;25;403;;;
02/11/21;4;27;612;;;
03/11/21;9;31;801;;;
04/11/21;5;25;628;;;
05/11/21;6;26;518;;;
06/11/21;8;30;401;;;
